NLOC,CCN,Token,Param,Length,location
6,2,39,1,10,/#/.test@1034-1043@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,4,71,1,16,(anonymous)@1030-1045@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,17,2,3,Tooltip@1075-1077@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
26,7,244,3,30,init@1083-1112@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
10,3,69,1,12,getOptions@1114-1125@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,17,0,3,(anonymous)@1134-1136@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,3,83,1,11,enter@1127-1137@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,17,0,3,(anonymous)@1146-1148@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,4,89,1,11,leave@1139-1149@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
44,11,343,0,53,show@1151-1203@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
33,7,198,2,40,applyPlacement@1205-1244@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,2,37,3,5,replaceArrow@1246-1250@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,2,46,0,7,setContent@1252-1258@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,20,0,3,(anonymous)@1271-1273@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,(anonymous)@1275-1278@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,29,0,10,removeWithAnimation@1270-1279@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
14,4,85,0,29,hide@1260-1288@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,4,55,0,6,fixTitle@1290-1295@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,10,0,3,hasContent@1297-1299@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,2,58,0,7,getPosition@1301-1307@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,3,53,0,10,getTitle@1309-1318@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,21,0,3,tip@1320-1322@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,23,0,3,arrow@1324-1326@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,2,33,0,7,validate@1328-1334@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,9,0,3,enable@1336-1338@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,9,0,3,disable@1340-1342@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,12,0,3,toggleEnabled@1344-1346@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,3,57,1,4,toggle@1348-1351@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,27,0,3,destroy@1353-1355@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,4,65,0,7,(anonymous)@1366-1372@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,9,$.fn.tooltip@1365-1373@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.tooltip.noConflict@1393-1396@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
43,1,206,0,332,(anonymous)@1067-1398@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,17,2,3,Popover@1427-1429@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,3,74,0,10,setContent@1439-1448@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,2,16,0,3,hasContent@1450-1452@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,3,53,0,10,getContent@1454-1463@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,2,29,0,6,tip@1465-1470@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,27,0,3,destroy@1472-1474@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,4,65,0,7,(anonymous)@1485-1491@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,9,$.fn.popover@1484-1492@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.popover.noConflict@1507-1510@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
22,1,140,0,94,(anonymous)@1419-1512@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
13,5,135,2,13,ScrollSpy@1541-1553@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,7,90,0,8,(anonymous)@1568-1575@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
1,1,17,2,1,(anonymous)@1576-1576@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,26,0,4,(anonymous)@1577-1580@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
11,1,58,0,23,refresh@1559-1581@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
19,9,158,0,21,process@1583-1603@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
18,2,99,1,24,activate@1605-1628@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,4,65,0,7,(anonymous)@1639-1645@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,9,$.fn.scrollspy@1638-1646@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.scrollspy.noConflict@1658-1661@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,21,0,4,(anonymous)@1668-1671@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,14,0,6,(anonymous)@1667-1672@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
